condition,mean_prob_correct,mean_error_rate,median_error_rate,ci_lower_2.5,ci_upper_97.5
/l/-/r/ Ambiguity,0.8154180493565566,0.18458195064344343,0.17927430469784172,0.08059922075302102,0.32791586689334934
Control,0.7481003034520173,0.2518996965479828,0.17780338183362487,0.009441287818118293,0.8365326524211286
